EmployeeNumber;EnvironmentSatisfaction;JobInvolvement;JobSatisfaction;RelationshipSatisfaction;WorkLifeBalance;Datasurvey
2;2;4;2;3;4;04/02/2026
5;2;3;3;3;3;04/02/2026
7;1;3;2;3;4;04/02/2026
8;2;3;3;2;3;04/02/2026
10;2;4;1;2;1;04/02/2026
11;2;3;3;3;2;04/02/2026
12;2;4;3;3;2;04/02/2026
13;2;3;3;2;2;04/02/2026
14;1;4;2;3;3;04/02/2026
15;2;4;3;3;4;04/02/2026
16;1;3;3;2;4;04/02/2026
18;2;3;3;3;3;04/02/2026
20;2;4;1;3;3;04/02/2026
21;1;4;2;2;4;04/02/2026
22;2;4;3;2;2;04/02/2026
23;1;4;3;3;3;04/02/2026
24;2;3;3;3;3;04/02/2026
26;1;4;3;2;4;04/02/2026
28;1;3;2;3;3;04/02/2026
30;2;3;3;3;4;04/02/2026
32;2;3;3;2;4;04/02/2026
35;2;3;2;3;4;04/02/2026
36;1;4;3;3;4;04/02/2026
38;2;3;1;2;4;04/02/2026
39;2;3;3;3;4;04/02/2026
40;2;3;3;4;4;04/02/2026
41;2;4;3;3;1;04/02/2026
46;2;4;3;2;4;04/02/2026
49;2;3;3;3;1;04/02/2026
51;2;4;1;4;4;04/02/2026
52;2;4;1;3;1;04/02/2026
53;2;3;3;3;3;04/02/2026
54;2;3;1;3;4;04/02/2026
56;2;3;3;3;4;04/02/2026
57;2;3;3;3;4;04/02/2026
60;2;3;3;3;3;04/02/2026
61;2;3;2;3;1;04/02/2026
62;1;3;3;3;3;04/02/2026
63;2;4;3;3;4;04/02/2026
68;2;3;1;2;3;04/02/2026
70;2;4;1;3;3;04/02/2026
72;2;4;3;2;3;04/02/2026
73;1;3;3;3;3;04/02/2026
74;2;3;1;2;4;04/02/2026
75;2;3;1;3;3;04/02/2026
76;2;3;3;2;4;04/02/2026
77;1;4;3;4;3;04/02/2026
78;1;3;3;3;2;04/02/2026
79;2;3;3;3;4;04/02/2026
80;2;4;3;2;4;04/02/2026
81;1;3;1;2;4;04/02/2026
83;2;3;3;3;2;04/02/2026
84;2;3;3;3;3;04/02/2026
85;2;4;2;3;3;04/02/2026
86;2;3;1;3;3;04/02/2026
88;2;3;1;2;4;04/02/2026
91;1;4;3;2;4;04/02/2026
94;2;3;2;3;4;04/02/2026
95;2;3;2;3;2;04/02/2026
96;2;3;2;3;2;04/02/2026
97;2;4;3;3;2;04/02/2026
98;2;3;3;3;4;04/02/2026
100;2;4;1;3;2;04/02/2026
101;2;3;1;4;2;04/02/2026
102;1;3;3;4;1;04/02/2026
103;2;3;2;3;4;04/02/2026
104;2;4;3;2;3;04/02/2026
105;2;4;3;3;1;04/02/2026
106;1;3;3;3;4;04/02/2026
107;2;4;3;3;4;04/02/2026
110;1;3;2;3;3;04/02/2026
112;2;4;3;2;1;04/02/2026
113;2;3;1;3;3;04/02/2026
116;2;3;3;3;2;04/02/2026
117;2;4;3;3;1;04/02/2026
119;2;4;2;2;4;04/02/2026
120;2;3;3;1;4;04/02/2026
121;2;4;2;2;2;04/02/2026
124;2;4;1;2;3;04/02/2026
125;2;3;3;3;1;04/02/2026
126;1;3;3;1;1;04/02/2026
128;1;3;3;2;1;04/02/2026
129;2;3;3;4;2;04/02/2026
131;2;3;3;2;3;04/02/2026
132;2;3;2;4;3;04/02/2026
134;2;3;1;3;4;04/02/2026
138;1;3;3;3;3;04/02/2026
139;2;4;3;4;4;04/02/2026
140;2;4;3;3;4;04/02/2026
141;1;3;2;2;1;04/02/2026
143;2;4;3;3;3;04/02/2026
144;2;3;3;3;3;04/02/2026
145;1;4;1;2;3;04/02/2026
148;2;4;3;3;3;04/02/2026
150;2;3;3;3;3;04/02/2026
151;2;4;2;3;3;04/02/2026
152;2;3;3;3;1;04/02/2026
153;2;4;1;3;4;04/02/2026
154;2;3;3;3;3;04/02/2026
155;1;3;3;3;1;04/02/2026
158;2;3;3;4;4;04/02/2026
159;1;4;3;2;3;04/02/2026
160;2;3;2;4;1;04/02/2026
162;1;3;3;3;3;04/02/2026
164;2;4;2;2;3;04/02/2026
169;2;3;3;3;3;04/02/2026
170;2;3;1;2;3;04/02/2026
171;2;4;3;3;4;04/02/2026
174;2;3;3;3;4;04/02/2026
176;2;3;3;3;3;04/02/2026
177;2;3;3;3;4;04/02/2026
178;2;3;2;3;4;04/02/2026
182;2;4;3;4;3;04/02/2026
183;1;4;3;3;4;04/02/2026
184;2;3;3;1;4;04/02/2026
192;2;3;3;2;2;04/02/2026
193;2;3;3;3;2;04/02/2026
194;1;3;3;2;3;04/02/2026
195;2;4;3;4;4;04/02/2026
197;2;3;1;3;4;04/02/2026
198;2;4;3;3;4;04/02/2026
199;2;4;1;2;2;04/02/2026
200;2;3;1;3;4;04/02/2026
201;2;3;2;3;4;04/02/2026
202;2;3;2;3;1;04/02/2026
204;2;3;2;3;1;04/02/2026
205;2;3;3;1;4;04/02/2026
206;2;3;2;1;3;04/02/2026
207;2;3;3;3;4;04/02/2026
208;2;3;3;3;1;04/02/2026
211;2;4;3;3;3;04/02/2026
214;2;4;2;2;2;04/02/2026
215;2;4;3;2;1;04/02/2026
216;2;3;3;3;4;04/02/2026
217;2;3;3;3;1;04/02/2026
218;2;3;2;1;4;04/02/2026
221;2;3;3;1;3;04/02/2026
223;2;4;3;1;2;04/02/2026
224;2;4;3;2;4;04/02/2026
226;2;3;2;3;2;04/02/2026
227;1;3;3;3;1;04/02/2026
228;2;3;3;3;3;04/02/2026
230;1;4;3;4;3;04/02/2026
231;2;3;3;3;1;04/02/2026
233;2;3;2;2;4;04/02/2026
238;2;3;2;2;3;04/02/2026
239;2;3;1;3;3;04/02/2026
240;2;3;1;4;1;04/02/2026
241;2;3;1;3;3;04/02/2026
242;2;3;3;4;1;04/02/2026
244;2;3;1;3;3;04/02/2026
245;2;3;3;3;3;04/02/2026
246;2;3;3;3;3;04/02/2026
247;2;3;2;3;4;04/02/2026
249;2;4;3;2;4;04/02/2026
250;2;4;1;3;3;04/02/2026
252;2;3;2;3;4;04/02/2026
253;2;3;3;3;2;04/02/2026
254;2;4;2;3;4;04/02/2026
256;2;4;3;2;3;04/02/2026
258;2;3;2;3;3;04/02/2026
259;2;4;3;3;1;04/02/2026
260;2;3;2;2;4;04/02/2026
262;2;4;3;4;4;04/02/2026
264;1;4;3;3;4;04/02/2026
267;2;4;1;2;1;04/02/2026
269;2;3;2;3;4;04/02/2026
270;2;3;3;3;2;04/02/2026
271;2;3;3;3;2;04/02/2026
273;2;3;3;1;1;04/02/2026
274;2;4;1;3;3;04/02/2026
275;2;3;3;3;1;04/02/2026
277;2;3;3;4;4;04/02/2026
281;2;3;3;4;3;04/02/2026
284;2;4;2;2;1;04/02/2026
286;2;3;3;3;1;04/02/2026
287;2;4;3;1;4;04/02/2026
288;2;3;1;3;3;04/02/2026
292;2;4;3;3;3;04/02/2026
293;2;3;3;3;4;04/02/2026
296;2;4;2;1;4;04/02/2026
